Date,Loan interests average percentage,Deposit interest average percentage,Spread
2016-01-31,7.17,1.35,5.82
2016-02-29,7.22,1.3,5.92
2016-03-31,6.85,1.24,5.609999999999999
2016-04-30,7.06,1.21,5.85
2016-05-31,7.2,1.21,5.99
2016-06-30,7.29,1.11,6.18
2016-07-31,7.09,1.17,5.92
2016-08-31,7.16,1.11,6.05
2016-09-30,6.8,0.99,5.81
2016-10-31,7.1,0.87,6.2299999999999995
2016-11-30,7.11,0.78,6.33
2016-12-31,7.05,0.75,6.3
2017-01-31,7.02,0.76,6.26
2017-02-28,6.94,0.72,6.220000000000001
2017-03-31,6.82,0.74,6.08
2017-04-30,7.19,0.73,6.460000000000001
2017-05-31,7.2,0.79,6.41
2017-06-30,7.54,0.86,6.68
2017-07-31,7.46,0.89,6.57
2017-08-31,7.05,0.94,6.109999999999999
2017-09-30,7.18,0.98,6.199999999999999
2017-10-31,7.03,0.84,6.19
2017-11-30,7.83,0.85,6.98
2017-12-31,7.96,0.87,7.09
2018-01-31,7.6,0.86,6.739999999999999
2018-02-28,7.37,0.81,6.5600000000000005
2018-03-31,7.37,0.81,6.5600000000000005
2018-04-30,7.42,0.9,6.52
2018-05-31,7.39,0.93,6.46
2018-06-30,6.68,1.07,5.609999999999999
2018-07-31,6.84,1.04,5.8
2018-08-31,6.9,1.2,5.7
2018-09-30,6.36,1.15,5.210000000000001
2018-10-31,6.72,1.18,5.54
2018-11-30,7.08,1.16,5.92
2018-12-31,7.45,1.08,6.37
2019-01-31,6.89,1.11,5.779999999999999
2019-02-28,6.84,1.18,5.66
2019-03-31,6.2,1.21,4.99
2019-04-30,6.83,1.07,5.76
2019-05-31,6.87,1.01,5.86
2019-06-30,7.12,0.96,6.16
2019-07-31,7.11,0.94,6.17
2019-08-31,7.11,0.89,6.220000000000001
2019-09-30,6.78,0.9,5.88
2019-10-31,6.76,0.9,5.859999999999999
2019-11-30,6.94,0.88,6.0600000000000005
2019-12-31,7.14,0.81,6.33
2020-01-31,7.03,0.86,6.17
2020-02-29,6.9,0.84,6.0600000000000005
2020-03-31,6.43,0.82,5.609999999999999
2020-04-30,5.44,0.7,4.74
2020-05-31,5.1,0.55,4.55
2020-06-30,4.42,0.55,3.87
2020-07-31,4.64,0.47,4.17
2020-08-31,4.71,0.42,4.29
2020-09-30,4.78,0.41,4.37
2020-10-31,5.15,0.43,4.720000000000001
2020-11-30,5.46,0.39,5.07
2020-12-31,5.38,0.34,5.04
2021-01-31,5.41,0.33,5.08
2021-02-28,5.16,0.31,4.8500000000000005
2021-03-31,5.03,0.26,4.7700000000000005
2021-04-30,5.65,0.25,5.4
2021-05-31,5.61,0.23,5.38
2021-06-30,5.67,0.23,5.4399999999999995
2021-07-31,5.85,0.23,5.619999999999999
2021-08-31,5.87,0.25,5.62
2021-09-30,6.02,0.27,5.75
2021-10-31,6.27,0.26,6.01
2021-11-30,6.43,0.26,6.17
2021-12-31,6.27,0.27,6.0
2022-01-31,6.21,0.43,5.78
2022-02-28,6.14,0.67,5.47
2022-03-31,5.92,0.76,5.16
2022-04-30,6.52,1.08,5.4399999999999995
2022-05-31,6.49,1.08,5.41
2022-06-30,6.71,1.47,5.24
2022-07-31,6.89,1.62,5.27
2022-08-31,6.88,1.78,5.1
2022-09-30,6.75,2.41,4.34
2022-10-31,7.23,3.21,4.0200000000000005
2022-11-30,7.87,3.22,4.65
2022-12-31,8.16,3.2,4.96
2023-01-31,8.3,3.31,4.99
2023-02-28,8.15,3.51,4.640000000000001
2023-03-31,7.79,3.53,4.26
2023-04-30,8.29,3.69,4.6
2023-05-31,8.27,3.97,4.299999999999999
2023-06-30,8.41,4.33,4.08
2023-07-31,8.61,5.01,3.5999999999999996
2023-08-31,9.07,5.1,3.9700000000000006
2023-09-30,8.73,5.17,3.5600000000000005
2023-10-31,8.71,5.23,3.4800000000000004
2023-11-30,9.05,5.03,4.0200000000000005
2023-12-31,9.17,4.77,4.4
2024-01-31,9.02,4.44,4.579999999999999
2024-02-29,8.76,4.33,4.43
2024-03-31,8.39,4.33,4.0600000000000005
2024-04-30,9.01,4.39,4.62
2024-05-31,8.93,4.49,4.4399999999999995
2024-06-30,8.93,4.5,4.43
2024-07-31,9.14,4.42,4.720000000000001
2024-08-31,9.27,4.34,4.93
