Date,Construction Price Index,Repair Price Index
2014-01-01,100.6,100.4
2014-02-01,99.9,100.4
2014-03-01,99.4,100.3
2014-04-01,98.8,100.2
2014-05-01,98.5,100.1
2014-06-01,99.1,100.1
2014-07-01,99.4,100.0
2014-08-01,98.8,99.9
2014-09-01,99.1,99.8
2014-10-01,99.0,99.6
2014-11-01,99.3,99.6
2014-12-01,99.0,99.6
2015-01-01,99.0,99.7
2015-02-01,99.6,99.8
2015-03-01,101.0,99.9
2015-04-01,100.0,99.9
2015-05-01,99.9,99.9
2015-06-01,100.3,99.9
2015-07-01,100.4,100.0
2015-08-01,99.7,100.0
2015-09-01,99.6,100.1
2015-10-01,100.1,100.2
2015-11-01,100.7,100.3
2015-12-01,99.8,100.4
2016-01-01,101.4,100.5
2016-02-01,101.6,100.6
2016-03-01,102.2,100.7
2016-04-01,102.5,100.8
2016-05-01,102.3,100.9
2016-06-01,102.4,101.0
2016-07-01,103.2,101.1
2016-08-01,103.2,101.3
2016-09-01,103.5,101.5
2016-10-01,104.1,101.8
2016-11-01,104.8,101.9
2016-12-01,104.8,102.0
2017-01-01,105.6,102.4
2017-02-01,105.8,102.5
2017-03-01,106.1,102.7
2017-04-01,106.1,102.9
2017-05-01,106.2,102.9
2017-06-01,106.7,103.1
2017-07-01,107.3,103.1
2017-08-01,107.6,103.3
2017-09-01,108.6,103.3
2017-10-01,108.4,103.4
2017-11-01,108.9,103.5
2017-12-01,109.0,103.5
2018-01-01,110.1,103.8
2018-02-01,109.8,104.0
2018-03-01,110.6,104.3
2018-04-01,110.9,104.5
2018-05-01,111.2,104.7
2018-06-01,111.6,104.8
2018-07-01,111.4,104.8
2018-08-01,111.2,104.9
2018-09-01,111.2,105.0
2018-10-01,111.4,105.1
2018-11-01,112.5,105.1
2018-12-01,112.5,105.2
2019-01-01,112.8,105.3
2019-02-01,113.4,105.5
2019-03-01,113.6,105.6
2019-04-01,114.3,105.8
2019-05-01,115.0,106.0
2019-06-01,115.3,106.1
2019-07-01,115.5,106.3
2019-08-01,115.3,106.3
2019-09-01,115.3,106.3
2019-10-01,114.7,106.3
2019-11-01,114.8,106.3
2019-12-01,114.2,106.3
2020-01-01,114.7,106.5
2020-02-01,114.8,106.7
2020-03-01,114.6,106.8
2020-04-01,114.8,106.5
2020-05-01,114.8,106.9
2020-06-01,115.0,106.9
2020-07-01,115.4,106.9
2020-08-01,115.4,107.1
2020-09-01,115.8,107.1
2020-10-01,115.9,107.2
2020-11-01,116.1,107.2
2020-12-01,116.2,107.3
2021-01-01,116.9,107.6
2021-02-01,117.2,107.7
2021-03-01,118.0,107.9
2021-04-01,118.7,108.2
2021-05-01,119.9,108.6
2021-06-01,120.9,109.3
2021-07-01,122.4,110.0
2021-08-01,124.0,110.8
2021-09-01,124.0,111.3
2021-10-01,125.7,112.1
2021-11-01,127.1,112.4
2021-12-01,126.7,112.8
2022-01-01,129.7,113.5
2022-02-01,129.9,113.9
2022-03-01,130.6,114.3
2022-04-01,133.2,115.5
2022-05-01,134.6,116.1
2022-06-01,135.6,116.7
2022-07-01,136.5,117.1
2022-08-01,135.8,117.4
2022-09-01,137.1,118.0
2022-10-01,139.0,118.3
2022-11-01,139.8,118.4
2022-12-01,139.4,118.6
2023-01-01,142.3,118.9
2023-02-01,142.9,118.9
2023-03-01,144.1,119.2
2023-04-01,144.7,119.4
2023-05-01,145.2,119.6
2023-06-01,145.3,120.0
2023-07-01,145.6,120.3
2023-08-01,145.6,120.3
2023-09-01,145.8,120.3
2023-10-01,144.8,120.4
2023-11-01,144.8,120.5
2023-12-01,144.4,120.6
2024-01-01,145.5,120.7
2024-02-01,147.0,120.7
2024-03-01,147.2,120.9
2024-04-01,148.6,121.0
2024-05-01,150.2,121.1
2024-06-01,150.2,121.2
